시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
유치원,강서유치원,서울특별시 강서구 까치산로 116 (화곡동),,37.5482118298,126.8500391,서울특별시 강서구청,강서경찰서,N,,,2020-01-01,3150000,서울특별시 강서구
유치원,예일유치원,서울특별시 강서구 강서로47길 126,,37.5537012097,126.8291829,서울특별시 강서구청,강서경찰서,Y,1,20,2020-01-01,3150000,서울특별시 강서구
유치원,동그라미유치원,서울특별시 강서구 화곡로52길 14 (화곡동),,37.5501136023,126.8491642884,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,등촌제일유치원,서울특별시 강서구 화곡로66길 118 (등촌동),,37.555424,126.859332,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,윤서유치원,"서울특별시 강서구 화곡로13길 107 (화곡동, 화곡푸르지오)",,37.5472436254,126.8322457361,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,서강유치원,서울특별시 강서구 금낭화로13길 47-9 (방화동),,37.571228,126.8084023726,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,우일유치원,서울특별시 강서구 곰달래로47길 88 (화곡동),,37.5351277,126.855313,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,신세기유치원,"서울특별시 강서구 허준로 47 (가양동, 가양2단지아파트)",,37.5710133890,126.8465865413,서울특별시 강서구청,강서경찰서,Y,1,25,2020-01-01,3150000,서울특별시 강서구
유치원,선미유치원,서울특별시 강서구 까치산로2길 43 (화곡동),,37.5393304774,126.843663,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,국제유치원,서울특별시 강서구 양천로30길 4 (마곡동),,37.5705117798,126.822935,서울특별시 강서구청,강서경찰서,Y,1,8,2020-01-01,3150000,서울특별시 강서구
유치원,새화곡유치원,서울특별시 강서구 강서로15길 40 (화곡동),,37.5323019,126.843815,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,새싹유치원,서울특별시 강서구 곰달래로49길 10 (화곡동),,37.5322127428,126.8580386977,서울특별시 강서구청,강서경찰서,Y,1,9,2020-01-01,3150000,서울특별시 강서구
유치원,방화이화유치원,서울특별시 강서구 양천로17길 4-55 (방화동),,37.5740904502,126.8135129,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,등촌이화유치원,서울특별시 강서구 화곡로63가길 26 (등촌동),,37.5597383012,126.847951,서울특별시 강서구청,강서경찰서,Y,1,10,2020-01-01,3150000,서울특별시 강서구
유치원,대유유치원,서울특별시 강서구 곰달래로57길 39 (화곡동),,37.5340081553,126.861588,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,예지유치원,서울특별시 강서구 남부순환로11가길 89 (공항동),,37.5576234,126.8132177709,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,신영유치원,서울특별시 강서구 곰달래로25길 4 (화곡동),,37.530958,126.849217,서울특별시 강서구청,강서경찰서,Y,1,8,2020-01-01,3150000,서울특별시 강서구
유치원,수미유치원,서울특별시 강서구 강서로17길 130 (화곡동),,37.532117,126.838533,서울특별시 강서구청,강서경찰서,Y,1,10,2020-01-01,3150000,서울특별시 강서구
유치원,보라유치원,"서울특별시 강서구 공항대로39길 100 (등촌동, 대림아파트)",,37.5636154646,126.8473940122,서울특별시 강서구청,강서경찰서,Y,1,10,2020-01-01,3150000,서울특별시 강서구
유치원,미도유치원,서울특별시 강서구 공항대로58가길 39 (등촌동),,37.550429,126.8609735458,서울특별시 강서구청,강서경찰서,Y,1,6,2020-01-01,3150000,서울특별시 강서구
유치원,등마초등학교,서울특별시 강서구 등촌로35길 12 (등촌동),,37.5420258,126.8616338,서울특별시 강서구청,강서경찰서,Y,1,8,2020-01-01,3150000,서울특별시 강서구
초등학교,강진칠량초등학교,전라남도 강진군 칠량면 영동1길 5,전라남도 강진군 칠량면 영동리 1113-5,34.5736037772,126.8004299425,전라남도 강진군청,강진경찰서,Y,2,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진군동초등학교,전라남도 강진군 군동면 석교로 365,전라남도 강진군 군동면 라천리 134-5,34.6480120297,126.8163997119,전라남도 강진군청,강진경찰서,Y,1,3,2020-02-10,4920000,전라남도 강진군
초등학교,강진계산초등학교,전라남도 강진군 군동면 군동계산길 22,전라남도 강진군 군동면 호계리 709-1,34.6457772563,126.7859819,전라남도 강진군청,강진경찰서,Y,1,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진옴천초등학교,전라남도 강진군 옴천면 개산중앙길 12-7,전라남도 강진군 옴천면 개산리 245,34.74512346,126.7953575,전라남도 강진군청,강진경찰서,Y,1,3,2020-02-10,4920000,전라남도 강진군
초등학교,강진병영초등학교,전라남도 강진군 병영면 하멜로 385,전라남도 강진군 병영면 성남리 199-7,34.71457494,126.8125717,전라남도 강진군청,강진경찰서,Y,3,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진작천초등학교,전라남도 강진군 작천면 평리3길 1,전라남도 강진군 작천면 현산리 5,34.7036025166,126.7721975181,전라남도 강진군청,강진경찰서,Y,3,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진성전초등학교,전라남도 강진군 성전면 예향로 17,전라남도 강진군 성전면 월평리 102,34.69368367,126.7066373,전라남도 강진군청,강진경찰서,Y,3,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진신전초등학교,전라남도 강진군 신전면 백도로 1341,전라남도 강진군 신전면 용월리 1033-1,34.50002562,126.709617,전라남도 강진군청,강진경찰서,Y,2,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진도암초등학교,전라남도 강진군 도암면 봉황로 10,전라남도 강진군 도암면 석문리 242,34.5513873171,126.7255068699,전라남도 강진군청,강진경찰서,Y,1,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진북초등학교,전라남도 강진군 강진읍 지전로안길 83,전라남도 강진군 강진읍 서산리 252-10,34.64104382,126.7333221,전라남도 강진군청,강진경찰서,Y,2,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진동초등학교,전라남도 강진군 강진읍 중앙로 180,전라남도 강진군 강진읍 동성리 202,34.6411841563,126.7762162921,전라남도 강진군청,강진경찰서,Y,3,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진중앙초등학교,전라남도 강진군 강진읍 중앙로 11,전라남도 강진군 강진읍 평동리 215-1,34.6334790273,126.7611825042,전라남도 강진군청,강진경찰서,Y,5,6,2020-02-10,4920000,전라남도 강진군
어린이집,지석어린이집,전라남도 강진군 도암면 지석마을길 35,전라남도 강진군 도암면 지석리 107-5,34.5761822340,126.6972073143,전라남도 강진군청,강진경찰서,Y,2,3,2020-02-10,4920000,전라남도 강진군
어린이집,호산나어린이집,전라남도 강진군 강진읍 고성길 60,전라남도 강진군 강진읍 서성리 255,34.6426241507,126.7616798286,전라남도 강진군청,강진경찰서,Y,2,3,2020-02-10,4920000,전라남도 강진군
초등학교,반계분장,충청남도 홍성군 장곡면 무한로 1115,,36.5062126525,126.7523710284,충청남도 홍성군,홍성경찰서,N,0,8,2019-09-25,4600000,충청남도 홍성군
어린이집,성화어린이집,전라남도 강진군 강진읍 영랑로 56,전라남도 강진군 강진읍 남성리 170-1,34.6402373920,126.7674061655,전라남도 강진군청,강진경찰서,Y,2,12,2020-02-10,4920000,전라남도 강진군
어린이집,한별어린이집,전라남도 강진군 강진읍 삼일로 48,전라남도 강진군 강진읍 서성리 59-3,34.63674869,126.7625823517,전라남도 강진군청,강진경찰서,Y,2,6,2020-02-10,4920000,전라남도 강진군
