시도,시도코드
서울특별시,1100
부산광역시,1200
대전광역시,2500
대구광역시,2200
광주광역시,2400
인천광역시,2300
울산광역시,2600
세종특별자치시,2700
경기도,1300
강원도,1400
충청남도,1600
충청북도,1500
전라남도,1800
전라북도,1700
경상남도,2000
경상북도,1900
제주특별자치도,2100
